Date,Shift,"Worker ID"
2021-02-26,"Day Shift",436
2021-02-26,"Day Shift",301
2021-02-26,"Day Shift",497
2021-02-26,"Day Shift",381
2021-02-26,"Day Shift",379
2021-02-26,"Day Shift",378
2021-02-26,"Day Heavy Shift",507
2021-02-26,"Day Heavy Shift",472
2021-02-26,"Day Shift",465
2021-02-26,"Day Shift",516
2021-02-26,"Day Shift",375
2021-02-26,"Day Shift",382
2021-02-26,"Day Shift",377
2021-02-26,"Day Shift",434
2021-02-26,"Day Shift",360
2021-02-26,"Day Shift",372
2021-02-26,"Day Shift",371
2021-02-26,"Day Shift",376
2021-02-26,"Day Shift",506
2021-02-26,"Day Shift",584
2021-02-26,"Day Shift",494
2021-02-26,"Day Heavy Shift",513
2021-02-26,"Day Heavy Shift",475
2021-02-26,"Day Shift",361
2021-02-26,"Day Shift",466
2021-02-26,"Day Shift",435
2021-02-26,"Day Shift",529
2021-02-26,"Day Shift",369
2021-02-26,"Day Shift",368
2021-02-26,"Day Shift",478
2021-02-26,"Day Shift",517
2021-02-26,"Day Heavy Shift",496
2021-02-26,"Day Heavy Shift",511
2021-02-26,"Day Heavy Shift",471
2021-02-26,"Day Shift",370
2021-02-26,"Day Shift",365
2021-02-26,"Day Shift",363
2021-02-26,"Day Shift",366
2021-02-26,"Day Shift",355
2021-02-26,"Day Shift",374
2021-02-26,"Day Shift",383
2021-02-26,"Day Shift",364
2021-02-26,"Day Heavy Shift",470
2021-02-26,"Day Shift",384
2021-02-26,"Day Shift",573
2021-02-26,"Day Shift",380
2021-02-26,"Day Shift",362
2021-02-26,"Day Shift",538
2021-02-26,"Day Shift",525
2021-02-26,"Day Shift",464
2021-02-26,"Day Shift",459
2021-02-26,"Day Shift",459
2021-02-26,"Day Shift",459
2021-02-26,"Day Shift",437
2021-02-26,"Day Shift",437
2021-02-26,"Day Shift",283
2021-02-26,"Day Shift",283
2021-02-26,"Day Shift",283
2021-02-26,"Day Shift",315
2021-02-26,"Day Shift",413
2021-02-26,"Day Heavy Shift",495
2021-02-26,"Day Shift",552
2021-02-26,"Day Shift",544
2021-02-26,"Day Heavy Shift",487
2021-02-26,"Day Heavy Shift",784
2021-02-26,"Day Heavy Shift",754
2021-02-26,"Day Heavy Shift",757
2021-02-26,"Day Heavy Shift",859
2021-02-26,"Day Heavy Shift",758
2021-02-26,"Day Heavy Shift",755
2021-02-26,"Day Heavy Shift",772
2021-02-26,"Day Heavy Shift",820
2021-02-26,"Day Heavy Shift",768
2021-02-26,"Day Heavy Shift",767
2021-02-26,"Day Heavy Shift",733
2021-02-26,"Day Heavy Shift",771
2021-02-26,"Day Heavy Shift",732
2021-02-26,"Day Heavy Shift",737
2021-02-26,"Day Shift",545
2021-02-26,"Day Heavy Shift",690
2021-02-26,"Day Heavy Shift",689
2021-02-26,"Day Heavy Shift",684
2021-02-26,"Day Heavy Shift",682
2021-02-26,"Day Heavy Shift",819
2021-02-26,"Day Heavy Shift",578
2021-02-26,"Day Heavy Shift",387
2021-02-26,"Day Heavy Shift",486
2021-02-26,"Day Heavy Shift",818
2021-02-26,"Day Shift",485
2021-02-26,"Day Heavy Shift",398
2021-02-26,"Day Heavy Shift",809
2021-02-26,"Day Heavy Shift",812
2021-02-26,"Day Heavy Shift",388
2021-02-26,"Day Shift",532
2021-02-26,"Day Heavy Shift",603
2021-02-26,"Day Shift",482
2021-02-26,"Day Heavy Shift",604
2021-02-26,"Day Heavy Shift",604
2021-02-26,"Day Heavy Shift",313
2021-02-26,"Day Heavy Shift",313
2021-02-26,"Day Heavy Shift",313
2021-02-26,"Day Heavy Shift",600
2021-02-26,"Day Heavy Shift",600
2021-02-26,"Day Heavy Shift",717
2021-02-26,"Day Shift",533
2021-02-26,"Day Heavy Shift",484
2021-02-26,"Day Heavy Shift",490
2021-02-26,"Day Heavy Shift",695
2021-02-26,"Day Heavy Shift",694
2021-02-26,"Day Heavy Shift",606
2021-02-26,"Day Heavy Shift",605
2021-02-26,"Day Shift",441
2021-02-26,"Day Shift",442
2021-02-26,"Day Shift",589
2021-02-26,"Day Shift",451
2021-02-26,"Day Shift",455
2021-02-26,"Day Shift",450
2021-02-26,"Day Shift",390
2021-02-26,"Day Heavy Shift",559
2021-02-26,"Day Heavy Shift",696
2021-02-26,"Day Heavy Shift",711
2021-02-26,"Day Heavy Shift",480
2021-02-26,"Day Heavy Shift",492
2021-02-26,"Day Shift",400
2021-02-26,"Day Heavy Shift",401
2021-02-26,"Day Heavy Shift",402
2021-02-26,"Day Shift",481
2021-02-26,"Day Shift",531
2021-02-26,"Day Heavy Shift",448
2021-02-26,"Day Heavy Shift",405
2021-02-26,"Day Heavy Shift",445
2021-02-26,"Day Shift",571
2021-02-26,"Day Heavy Shift",447
2021-02-26,"Day Shift",530
2021-02-26,"Day Shift",536
2021-02-26,"Day Heavy Shift",595
2021-02-26,"Day Heavy Shift",595
2021-02-26,"Day Heavy Shift",449
2021-02-26,"Day Shift",393
2021-02-26,"Day Shift",534
2021-02-26,"Day Heavy Shift",557
2021-02-26,"Day Shift",543
2021-02-26,"Day Heavy Shift",553
2021-02-26,"Day Heavy Shift",790
